X1,X2,X3,X4,X5,X6,X7,X8,Label,,,
0.043366,0.049342,0.078895,0.073454,0.062171,0.062164,0.0097953,0.0059745,1,,,
0.013881,0.01547,0.023009,0.021376,0.017878,0.017995,0.0023763,0.0014779,1,,Label,Category
0.014343,0.016066,0.023425,0.022599,0.01915,0.019166,0.0022683,0.0016373,1,,1,No Crack 
0.080329,0.079738,0.10376,0.10322,0.09298,0.093109,0.0056286,0.0068276,1,,2,Longitudinal Crack
0.019551,0.052606,0.10563,0.068538,0.058165,0.058019,0.023545,0.0037159,1,,3,Transverse Crack
0.052949,0.057926,0.084326,0.076273,0.067864,0.067589,0.0084783,0.0043955,1,,4,Alligator Crack
0.012026,0.012731,0.021275,0.018783,0.016433,0.016315,0.0025309,0.0015099,1,,,
0.047083,0.052839,0.071348,0.066317,0.058753,0.058779,0.0063148,0.0037926,1,,,
0.073529,0.075681,0.10169,0.096618,0.087117,0.086962,0.0079935,0.0042159,1,,,
0.093325,0.11223,0.15784,0.13345,0.12341,0.12334,0.017231,0.004946,1,,,
0.045922,0.051711,0.074783,0.066079,0.05806,0.058046,0.0069655,0.00365,1,,,
0.094622,0.0973,0.13689,0.13432,0.11457,0.11497,0.013354,0.0095414,1,,,
0.089518,0.092246,0.11979,0.11991,0.10713,0.1069,0.0074326,0.0065051,1,,,
0.052595,0.057537,0.094722,0.096678,0.073495,0.073719,0.0095588,0.012902,1,,,
0.06315,0.069829,0.093591,0.086612,0.077385,0.077274,0.0082213,0.0041252,1,,,
0.062607,0.059658,0.10349,0.097251,0.075487,0.075667,0.010341,0.01086,1,,,
0.019633,0.022575,0.037357,0.03733,0.029293,0.029312,0.0049733,0.0032059,1,,,
0.053778,0.059736,0.086205,0.076066,0.068135,0.068128,0.0095841,0.0031795,1,,,
0.035168,0.040099,0.062812,0.052788,0.045777,0.045824,0.0079899,0.0031469,1,,,
0.057608,0.058779,0.073387,0.076292,0.066213,0.06615,0.0041206,0.0044678,1,,,
0.021127,0.054148,0.11006,0.062463,0.058348,0.05872,0.024856,0.0023486,1,,,
0.025324,0.06374,0.11698,0.075222,0.068205,0.068246,0.027361,0.0030055,1,,,
0.021284,0.022348,0.036121,0.039212,0.030095,0.030032,0.0037297,0.0047401,1,,,
0.018026,0.018355,0.027572,0.024813,0.021803,0.021809,0.0022654,0.0018844,1,,,
0.076172,0.090892,0.12912,0.11525,0.10282,0.10331,0.017265,0.0055509,1,,,
0.0638,0.084713,0.15055,0.13059,0.10968,0.10958,0.027416,0.011976,1,,,
0.01185,0.020727,0.040462,0.028868,0.025603,0.02556,0.0096635,0.0018862,1,,,
0.0078665,0.012202,0.020154,0.015458,0.013648,0.01372,0.0038791,0.00079412,1,,,
0.013875,0.015791,0.022402,0.021098,0.017838,0.017811,0.0024173,0.0012748,1,,,
0.007883,0.0053002,0.012488,0.012191,0.0099368,0.0098696,0.0011868,0.0015412,1,,,
0.089936,0.094448,0.13765,0.12623,0.11413,0.1142,0.01213,0.0074186,1,,,
0.10143,0.11357,0.15182,0.14115,0.12574,0.1258,0.012893,0.0060941,1,,,
0.15446,0.14293,0.21011,0.20436,0.17708,0.17758,0.014264,0.016486,1,,,
0.033756,0.036198,0.05456,0.049901,0.043123,0.042753,0.005193,0.0034326,1,,,
0.034708,0.036211,0.051069,0.046228,0.041186,0.041476,0.0049032,0.0030922,1,,,
0.085281,0.093058,0.13849,0.12751,0.11019,0.11001,0.013742,0.0079444,1,,,
0.082329,0.087936,0.12887,0.12444,0.10474,0.10468,0.013312,0.0084601,1,,,
0.076867,0.084917,0.12123,0.10949,0.095466,0.095171,0.011889,0.0065089,1,,,
0.028905,0.037751,0.075125,0.062795,0.051381,0.051232,0.011092,0.0069119,1,,,
0.08876,0.09552,0.12956,0.12997,0.11146,0.11136,0.010587,0.010553,1,,,
0.0016291,0.0016187,0.0050138,0.0048808,0.0029936,0.0030051,0.00081305,0.00077805,1,,,
